gender,birthyear,voted_for,generation
Male,1966,Trump,Generation X
Female,1946,Biden,Baby Boomer
Female,1962,Biden,Baby Boomer
Male,1961,Trump,Baby Boomer
Female,1947,Trump,Baby Boomer
Female,1970,Trump,Generation X
Female,1963,Biden,Baby Boomer
Female,1966,Biden,Generation X
Female,1961,Biden,Baby Boomer
Male,1959,Biden,Baby Boomer
Female,1959,Biden,Baby Boomer
Male,1960,Trump,Baby Boomer
Male,1961,Trump,Baby Boomer
Female,1950,Trump,Baby Boomer
Male,1946,Biden,Baby Boomer
Female,1963,Biden,Baby Boomer
Male,1984,Biden,Millennial
Female,1984,Biden,Millennial
Female,1972,Trump,Generation X
Female,1948,Biden,Baby Boomer
Female,1950,Biden,Baby Boomer
Female,1934,Biden,Silent Generation
Female,1978,Biden,Generation X
Female,1964,Trump,Baby Boomer
Male,1948,Trump,Baby Boomer
Male,1954,Biden,Baby Boomer
Female,1963,Biden,Baby Boomer
Male,1946,Trump,Baby Boomer
Female,1950,Trump,Baby Boomer
Female,1971,Biden,Generation X
Male,1959,Trump,Baby Boomer
Female,1965,Biden,Generation X
Male,1963,Trump,Baby Boomer
Female,1953,Biden,Baby Boomer
Female,1987,Trump,Millennial
Male,1948,Trump,Baby Boomer
Female,1951,Biden,Baby Boomer
Female,1959,Biden,Baby Boomer
Female,1953,Biden,Baby Boomer
Female,1958,Biden,Baby Boomer
Female,1954,Trump,Baby Boomer
Male,1945,Trump,Silent Generation
Female,1956,Biden,Baby Boomer
Male,1970,Trump,Generation X
Female,1967,Biden,Generation X
Female,1986,Trump,Millennial
Male,1951,Biden,Baby Boomer
Male,1971,Trump,Generation X
Female,1954,Biden,Baby Boomer
Female,1958,Biden,Baby Boomer
Female,1959,Biden,Baby Boomer
Female,1963,Trump,Baby Boomer
Female,1943,Biden,Silent Generation
Male,1966,Trump,Generation X
Male,1994,Biden,Millennial
Male,1966,Trump,Generation X
Female,1996,Biden,Millennial
Female,1963,Trump,Baby Boomer
Female,1955,Trump,Baby Boomer
Female,1978,Trump,Generation X
Female,1950,Biden,Baby Boomer
Female,1965,Trump,Generation X
Female,1958,Trump,Baby Boomer
Male,1955,Biden,Baby Boomer
Female,1952,Trump,Baby Boomer
Male,1958,Biden,Baby Boomer
Female,1947,Biden,Baby Boomer
Male,1964,Biden,Baby Boomer
Male,1953,Trump,Baby Boomer
Female,1948,Trump,Baby Boomer
Female,1961,Trump,Baby Boomer
Female,1941,Biden,Silent Generation
Male,1964,Trump,Baby Boomer
Male,1993,Biden,Millennial
Female,1950,Biden,Baby Boomer
Female,1966,Biden,Generation X
Female,1965,Trump,Generation X
Female,1993,Trump,Millennial
Female,1945,Biden,Silent Generation
Female,1957,Trump,Baby Boomer
Female,1957,Biden,Baby Boomer
Female,1938,Trump,Silent Generation
Male,1956,Trump,Baby Boomer
Male,1964,Biden,Baby Boomer
