votereg,CC20_410,gender,birthyr
1,2,1,1966
2,NA,2,1955
1,1,2,1946
1,1,2,1962
1,4,1,1967
1,2,1,1961
2,NA,1,1950
1,2,2,1947
1,2,2,1970
1,1,2,1963
1,1,2,1966
1,1,2,1961
1,1,1,1959
1,1,2,1959
1,2,1,1960
1,2,1,1961
1,2,2,1950
1,1,1,1946
1,1,2,1963
1,1,1,1984
1,1,2,1984
1,2,2,1972
1,1,2,1948
1,1,2,1950
1,1,2,1934
2,NA,2,1971
1,NA,2,1957
1,1,2,1978
1,2,2,1964
2,NA,1,1946
1,2,1,1948
1,1,1,1954
2,NA,2,1987
1,1,2,1963
1,2,1,1946
1,2,2,1950
2,NA,2,1981
1,1,2,1971
1,2,1,1959
1,1,2,1965
1,2,1,1963
1,1,2,1953
1,2,2,1987
1,4,2,1953
1,2,1,1948
1,4,2,1973
1,1,2,1951
1,1,2,1959
1,1,2,1953
1,1,2,1958
1,2,2,1954
1,4,1,1967
1,2,1,1945
1,1,2,1956
1,2,1,1970
1,NA,1,1985
1,1,2,1967
1,2,2,1986
1,NA,2,1993
1,1,1,1951
1,2,1,1971
2,NA,2,1968
1,NA,2,1983
1,1,2,1954
1,1,2,1958
1,1,2,1959
1,2,2,1963
1,1,2,1943
1,2,1,1966
1,NA,1,1986
1,4,1,1986
1,1,1,1994
1,2,1,1966
1,1,2,1996
1,2,2,1963
1,2,2,1955
1,2,2,1978
1,1,2,1950
1,2,2,1965
1,2,2,1958
1,1,1,1955
1,NA,1,1988
1,NA,1,1990
1,2,2,1952
1,NA,1,1994
1,1,1,1958
1,4,2,1944
1,1,2,1947
1,1,1,1964
1,2,1,1953
1,2,2,1948
1,4,2,1987
1,2,2,1961
1,1,2,1941
1,2,1,1964
1,1,1,1993
1,1,2,1950
1,1,2,1966
1,2,2,1965
1,2,2,1993
1,1,2,1945
1,NA,1,1956
1,2,2,1957
1,1,2,1957
1,2,2,1938
3,NA,1,1952
1,2,1,1956
1,1,1,1964
1,1,2,1950
1,2,1,1958
1,NA,1,1997
1,1,2,1957
2,NA,2,1982
1,1,1,1986
1,2,1,1948
1,2,1,1982
1,2,1,1958
1,1,1,1951
1,1,2,1964
1,1,2,1954
1,2,1,1971
1,1,2,1989
1,2,2,1960
1,1,2,1960
1,2,2,1965
1,1,2,1958
1,1,2,1987
1,2,1,1957
1,1,2,1965
1,1,1,1961
1,1,2,1946
1,1,1,1941
1,2,2,1940
1,1,1,1951
1,2,2,1953
1,1,1,1985
1,2,2,1957
1,1,1,1964
1,2,2,1958
1,1,2,1957
1,2,2,1954
1,2,1,1990
1,1,1,1941
1,1,1,1954
1,2,1,1953
1,2,1,1948
1,1,1,1948
